index,image_path,class_id,pos_neg,bbox_path,mask_path
0,.\train\images\ppe_0000.jpg,[5],1,.\train\labels\ppe_0000.txt,
1,.\train\images\ppe_0001.jpg,[4 5],1,.\train\labels\ppe_0001.txt,
2,.\train\images\ppe_0002.jpg,[1 4],1,.\train\labels\ppe_0002.txt,
3,.\train\images\ppe_0004.jpg,[4],1,.\train\labels\ppe_0004.txt,
4,.\train\images\ppe_0005.jpg,[1 5],1,.\train\labels\ppe_0005.txt,
5,.\train\images\ppe_0006.jpg,[4],1,.\train\labels\ppe_0006.txt,
6,.\train\images\ppe_0007.jpg,[5],1,.\train\labels\ppe_0007.txt,
7,.\train\images\ppe_0008.jpg,[1],1,.\train\labels\ppe_0008.txt,
8,.\train\images\ppe_0009.jpg,[2 4],1,.\train\labels\ppe_0009.txt,
9,.\train\images\ppe_0010.jpg,[5],1,.\train\labels\ppe_0010.txt,
10,.\train\images\ppe_0011.jpg,[3],1,.\train\labels\ppe_0011.txt,
11,.\train\images\ppe_0012.jpg,[1 5],1,.\train\labels\ppe_0012.txt,
12,.\train\images\ppe_0014.jpg,[0],1,.\train\labels\ppe_0014.txt,
13,.\train\images\ppe_0015.jpg,[5],1,.\train\labels\ppe_0015.txt,
14,.\train\images\ppe_0016.jpg,[1 2 4],1,.\train\labels\ppe_0016.txt,
15,.\train\images\ppe_0017.jpg,[1 4],1,.\train\labels\ppe_0017.txt,
16,.\train\images\ppe_0018.jpg,[2 3],1,.\train\labels\ppe_0018.txt,
17,.\train\images\ppe_0019.jpg,[5],1,.\train\labels\ppe_0019.txt,
18,.\train\images\ppe_0020.jpg,[1 5],1,.\train\labels\ppe_0020.txt,
19,.\train\images\ppe_0021.jpg,[1 5],1,.\train\labels\ppe_0021.txt,
20,.\train\images\ppe_0022.jpg,[5],1,.\train\labels\ppe_0022.txt,
21,.\train\images\ppe_0023.jpg,[1 4],1,.\train\labels\ppe_0023.txt,
22,.\train\images\ppe_0025.jpg,[1 4],1,.\train\labels\ppe_0025.txt,
23,.\train\images\ppe_0026.jpg,[1 2],1,.\train\labels\ppe_0026.txt,
24,.\train\images\ppe_0027.jpg,[1 4],1,.\train\labels\ppe_0027.txt,
25,.\train\images\ppe_0029.jpg,[2],1,.\train\labels\ppe_0029.txt,
26,.\train\images\ppe_0031.jpg,[1 4],1,.\train\labels\ppe_0031.txt,
27,.\train\images\ppe_0032.jpg,[4],1,.\train\labels\ppe_0032.txt,
28,.\train\images\ppe_0033.jpg,[1 4],1,.\train\labels\ppe_0033.txt,
29,.\train\images\ppe_0034.jpg,[1 3 4],1,.\train\labels\ppe_0034.txt,
30,.\train\images\ppe_0035.jpg,[1 3],1,.\train\labels\ppe_0035.txt,
31,.\train\images\ppe_0036.jpg,[4],1,.\train\labels\ppe_0036.txt,
32,.\train\images\ppe_0039.jpg,[5],1,.\train\labels\ppe_0039.txt,
33,.\train\images\ppe_0040.jpg,[2],1,.\train\labels\ppe_0040.txt,
34,.\train\images\ppe_0043.jpg,[2],1,.\train\labels\ppe_0043.txt,
35,.\train\images\ppe_0044.jpg,[1 4 5],1,.\train\labels\ppe_0044.txt,
36,.\train\images\ppe_0045.jpg,[5],1,.\train\labels\ppe_0045.txt,
37,.\train\images\ppe_0047.jpg,[5],1,.\train\labels\ppe_0047.txt,
38,.\train\images\ppe_0049.jpg,[1 4],1,.\train\labels\ppe_0049.txt,
39,.\train\images\ppe_0050.jpg,[1 4],1,.\train\labels\ppe_0050.txt,
40,.\train\images\ppe_0051.jpg,[1 5],1,.\train\labels\ppe_0051.txt,
41,.\train\images\ppe_0053.jpg,[5],1,.\train\labels\ppe_0053.txt,
42,.\train\images\ppe_0054.jpg,[4],1,.\train\labels\ppe_0054.txt,
43,.\train\images\ppe_0055.jpg,[3],1,.\train\labels\ppe_0055.txt,
44,.\train\images\ppe_0056.jpg,[1 5],1,.\train\labels\ppe_0056.txt,
45,.\train\images\ppe_0057.jpg,[1 4],1,.\train\labels\ppe_0057.txt,
46,.\train\images\ppe_0058.jpg,[2],1,.\train\labels\ppe_0058.txt,
47,.\train\images\ppe_0060.jpg,[5],1,.\train\labels\ppe_0060.txt,
48,.\train\images\ppe_0061.jpg,[4],1,.\train\labels\ppe_0061.txt,
49,.\train\images\ppe_0063.jpg,[1 3 4 5],1,.\train\labels\ppe_0063.txt,
50,.\train\images\ppe_0064.jpg,[1 4],1,.\train\labels\ppe_0064.txt,
51,.\train\images\ppe_0065.jpg,[2],1,.\train\labels\ppe_0065.txt,
52,.\train\images\ppe_0066.jpg,[1 4],1,.\train\labels\ppe_0066.txt,
53,.\train\images\ppe_0070.jpg,[1 5],1,.\train\labels\ppe_0070.txt,
54,.\train\images\ppe_0071.jpg,[5],1,.\train\labels\ppe_0071.txt,
55,.\train\images\ppe_0072.jpg,[5],1,.\train\labels\ppe_0072.txt,
56,.\train\images\ppe_0073.jpg,[3],1,.\train\labels\ppe_0073.txt,
57,.\train\images\ppe_0074.jpg,[3],1,.\train\labels\ppe_0074.txt,
58,.\train\images\ppe_0075.jpg,[1 5],1,.\train\labels\ppe_0075.txt,
59,.\train\images\ppe_0076.jpg,[1 5],1,.\train\labels\ppe_0076.txt,
60,.\train\images\ppe_0077.jpg,[3],1,.\train\labels\ppe_0077.txt,
61,.\train\images\ppe_0078.jpg,[5],1,.\train\labels\ppe_0078.txt,
62,.\train\images\ppe_0080.jpg,[1 2],1,.\train\labels\ppe_0080.txt,
63,.\train\images\ppe_0081.jpg,[1 4],1,.\train\labels\ppe_0081.txt,
64,.\train\images\ppe_0082.jpg,[5],1,.\train\labels\ppe_0082.txt,
65,.\train\images\ppe_0084.jpg,[1 4],1,.\train\labels\ppe_0084.txt,
66,.\train\images\ppe_0086.jpg,[1 2 5],1,.\train\labels\ppe_0086.txt,
67,.\train\images\ppe_0087.jpg,[1 4],1,.\train\labels\ppe_0087.txt,
68,.\train\images\ppe_0088.jpg,[2],1,.\train\labels\ppe_0088.txt,
69,.\train\images\ppe_0089.jpg,[1 5],1,.\train\labels\ppe_0089.txt,
70,.\train\images\ppe_0090.jpg,[1 4],1,.\train\labels\ppe_0090.txt,
71,.\train\images\ppe_0091.jpg,[5],1,.\train\labels\ppe_0091.txt,
72,.\train\images\ppe_0092.jpg,[5],1,.\train\labels\ppe_0092.txt,
73,.\train\images\ppe_0093.jpg,[5],1,.\train\labels\ppe_0093.txt,
74,.\train\images\ppe_0094.jpg,[1 5],1,.\train\labels\ppe_0094.txt,
75,.\train\images\ppe_0095.jpg,[1 5],1,.\train\labels\ppe_0095.txt,
76,.\train\images\ppe_0096.jpg,[5],1,.\train\labels\ppe_0096.txt,
77,.\train\images\ppe_0097.jpg,[1 3],1,.\train\labels\ppe_0097.txt,
78,.\train\images\ppe_0098.jpg,[1 4],1,.\train\labels\ppe_0098.txt,
79,.\train\images\ppe_0099.jpg,[1 5],1,.\train\labels\ppe_0099.txt,
80,.\train\images\ppe_0100.jpg,[1 3 4 5],1,.\train\labels\ppe_0100.txt,
81,.\train\images\ppe_0101.jpg,[2 4 5],1,.\train\labels\ppe_0101.txt,
82,.\train\images\ppe_0102.jpg,[4],1,.\train\labels\ppe_0102.txt,
83,.\train\images\ppe_0105.jpg,[3 4],1,.\train\labels\ppe_0105.txt,
84,.\train\images\ppe_0107.jpg,[5],1,.\train\labels\ppe_0107.txt,
85,.\train\images\ppe_0108.jpg,[1 5],1,.\train\labels\ppe_0108.txt,
86,.\train\images\ppe_0109.jpg,[4],1,.\train\labels\ppe_0109.txt,
87,.\train\images\ppe_0110.jpg,[5],1,.\train\labels\ppe_0110.txt,
88,.\train\images\ppe_0111.jpg,[0],1,.\train\labels\ppe_0111.txt,
89,.\train\images\ppe_0112.jpg,[5],1,.\train\labels\ppe_0112.txt,
90,.\train\images\ppe_0113.jpg,[5],1,.\train\labels\ppe_0113.txt,
91,.\train\images\ppe_0115.jpg,[1 4],1,.\train\labels\ppe_0115.txt,
92,.\train\images\ppe_0117.jpg,[3 4],1,.\train\labels\ppe_0117.txt,
93,.\train\images\ppe_0118.jpg,[1 4],1,.\train\labels\ppe_0118.txt,
94,.\train\images\ppe_0120.jpg,[5],1,.\train\labels\ppe_0120.txt,
95,.\train\images\ppe_0122.jpg,[1 5],1,.\train\labels\ppe_0122.txt,
96,.\train\images\ppe_0123.jpg,[3],1,.\train\labels\ppe_0123.txt,
97,.\train\images\ppe_0124.jpg,[4 5],1,.\train\labels\ppe_0124.txt,
98,.\train\images\ppe_0126.jpg,[4],1,.\train\labels\ppe_0126.txt,
99,.\train\images\ppe_0127.jpg,[5],1,.\train\labels\ppe_0127.txt,
100,.\train\images\ppe_0128.jpg,[3],1,.\train\labels\ppe_0128.txt,
101,.\train\images\ppe_0129.jpg,[1 5],1,.\train\labels\ppe_0129.txt,
102,.\train\images\ppe_0130.jpg,[4],1,.\train\labels\ppe_0130.txt,
103,.\train\images\ppe_0131.jpg,[2 4 5],1,.\train\labels\ppe_0131.txt,
104,.\train\images\ppe_0132.jpg,[3],1,.\train\labels\ppe_0132.txt,
105,.\train\images\ppe_0133.jpg,[0],1,.\train\labels\ppe_0133.txt,
106,.\train\images\ppe_0134.jpg,[5],1,.\train\labels\ppe_0134.txt,
107,.\train\images\ppe_0135.jpg,[1 2 4],1,.\train\labels\ppe_0135.txt,
108,.\train\images\ppe_0136.jpg,[5],1,.\train\labels\ppe_0136.txt,
109,.\train\images\ppe_0137.jpg,[1 4],1,.\train\labels\ppe_0137.txt,
110,.\train\images\ppe_0138.jpg,[1 5],1,.\train\labels\ppe_0138.txt,
111,.\train\images\ppe_0139.jpg,[1 4],1,.\train\labels\ppe_0139.txt,
112,.\train\images\ppe_0143.jpg,[1 5],1,.\train\labels\ppe_0143.txt,
113,.\train\images\ppe_0144.jpg,[4],1,.\train\labels\ppe_0144.txt,
114,.\train\images\ppe_0145.jpg,[1 5],1,.\train\labels\ppe_0145.txt,
115,.\train\images\ppe_0146.jpg,[1 2],1,.\train\labels\ppe_0146.txt,
116,.\train\images\ppe_0147.jpg,[5],1,.\train\labels\ppe_0147.txt,
117,.\train\images\ppe_0148.jpg,[1 2 3],1,.\train\labels\ppe_0148.txt,
118,.\train\images\ppe_0149.jpg,[1 2 4],1,.\train\labels\ppe_0149.txt,
119,.\train\images\ppe_0150.jpg,[1 4],1,.\train\labels\ppe_0150.txt,
120,.\train\images\ppe_0151.jpg,[5],1,.\train\labels\ppe_0151.txt,
121,.\train\images\ppe_0152.jpg,[5],1,.\train\labels\ppe_0152.txt,
122,.\train\images\ppe_0153.jpg,[1 2 4],1,.\train\labels\ppe_0153.txt,
123,.\train\images\ppe_0154.jpg,[1 4],1,.\train\labels\ppe_0154.txt,
124,.\train\images\ppe_0155.jpg,[1 4],1,.\train\labels\ppe_0155.txt,
125,.\train\images\ppe_0156.jpg,[1 4],1,.\train\labels\ppe_0156.txt,
126,.\train\images\ppe_0157.jpg,[3],1,.\train\labels\ppe_0157.txt,
127,.\train\images\ppe_0158.jpg,[5],1,.\train\labels\ppe_0158.txt,
128,.\train\images\ppe_0159.jpg,[1 2],1,.\train\labels\ppe_0159.txt,
129,.\train\images\ppe_0160.jpg,[1 4],1,.\train\labels\ppe_0160.txt,
130,.\train\images\ppe_0161.jpg,[2 5],1,.\train\labels\ppe_0161.txt,
131,.\train\images\ppe_0162.jpg,[1 4],1,.\train\labels\ppe_0162.txt,
132,.\train\images\ppe_0164.jpg,[0],1,.\train\labels\ppe_0164.txt,
133,.\train\images\ppe_0165.jpg,[1 2],1,.\train\labels\ppe_0165.txt,
134,.\train\images\ppe_0166.jpg,[5],1,.\train\labels\ppe_0166.txt,
135,.\train\images\ppe_0167.jpg,[1 5],1,.\train\labels\ppe_0167.txt,
136,.\train\images\ppe_0168.jpg,[1 4],1,.\train\labels\ppe_0168.txt,
137,.\train\images\ppe_0169.jpg,[5],1,.\train\labels\ppe_0169.txt,
138,.\train\images\ppe_0170.jpg,[5],1,.\train\labels\ppe_0170.txt,
139,.\train\images\ppe_0171.jpg,[4],1,.\train\labels\ppe_0171.txt,
140,.\train\images\ppe_0172.jpg,[2 4],1,.\train\labels\ppe_0172.txt,
141,.\train\images\ppe_0173.jpg,[3],1,.\train\labels\ppe_0173.txt,
142,.\train\images\ppe_0174.jpg,[1 5],1,.\train\labels\ppe_0174.txt,
143,.\train\images\ppe_0175.jpg,[1 2],1,.\train\labels\ppe_0175.txt,
144,.\train\images\ppe_0177.jpg,[5],1,.\train\labels\ppe_0177.txt,
145,.\train\images\ppe_0178.jpg,[1 4],1,.\train\labels\ppe_0178.txt,
146,.\train\images\ppe_0180.jpg,[5],1,.\train\labels\ppe_0180.txt,
