index,image_path,class_id,pos_neg,bbox_path,mask_path
0,.\train\images\ACM-109_Bottom_jpg.rf.819c8278d3e393af527f37fa4e79e269.jpg,[ 1  4  6 13 14 16 17],1,.\train\labels\ACM-109_Bottom_jpg.rf.819c8278d3e393af527f37fa4e79e269.txt,
1,.\train\images\ACM-109_Bottom_jpg.rf.ac5b4ce922195929cb11a8bb0110a3b3.jpg,[ 1  4  6 13 14 16 17],1,.\train\labels\ACM-109_Bottom_jpg.rf.819c8278d3e393af527f37fa4e79e269.txt,
2,.\train\images\ACM-109_Bottom_jpg.rf.acd1ab4f7a379a34ef857f125a4260b1.jpg,[ 1  4  6 13 14 16 17],1,.\train\labels\ACM-109_Bottom_jpg.rf.819c8278d3e393af527f37fa4e79e269.txt,
3,.\train\images\ACM-109_Bottom_jpg.rf.e527cf31acb332a40cc5a8241f2a5b07.jpg,[ 1  4  6 13 14 16 17],1,.\train\labels\ACM-109_Bottom_jpg.rf.819c8278d3e393af527f37fa4e79e269.txt,
4,.\train\images\ACM-109_Top_jpg.rf.0237484834929ee929c148d83becdb4b.jpg,[ 1  3  4  6  9 12 13 16 17 18 19],1,.\train\labels\ACM-109_Top_jpg.rf.0237484834929ee929c148d83becdb4b.txt,
5,.\train\images\ACM-109_Top_jpg.rf.0b7c35424d02ab630a20c27498797b97.jpg,[ 1  3  4  6  9 12 13 16 17 18 19],1,.\train\labels\ACM-109_Top_jpg.rf.0237484834929ee929c148d83becdb4b.txt,
6,.\train\images\ACM-109_Top_jpg.rf.6dcfb9f38a53ec049ff799e1d3ba82f2.jpg,[ 1  3  4  6  9 12 13 16 17 18 19],1,.\train\labels\ACM-109_Top_jpg.rf.0237484834929ee929c148d83becdb4b.txt,
7,.\train\images\ACM-109_Top_jpg.rf.a917b3b00994b9b85568e2651262ba35.jpg,[ 1  3  4  6  9 12 13 16 17 18 19],1,.\train\labels\ACM-109_Top_jpg.rf.0237484834929ee929c148d83becdb4b.txt,
8,.\train\images\ATTIOT_Top_JPG_jpg.rf.7367fe4cea4157315d2298998fe122db.jpg,[ 1  4  5  9 10 11 12 13 17 21],1,.\train\labels\ATTIOT_Top_JPG_jpg.rf.7367fe4cea4157315d2298998fe122db.txt,
9,.\train\images\ATTIOT_Top_JPG_jpg.rf.73b9e9da0e0d04c2a6e92e714b6cfeb7.jpg,[ 1  4  5  9 10 11 12 13 17 21],1,.\train\labels\ATTIOT_Top_JPG_jpg.rf.7367fe4cea4157315d2298998fe122db.txt,
