index,image_path,class_id,pos_neg,bbox_path,mask_path
0,.\train\images\0001_002_00.png,[1],1,.\train\labels\0001_002_00.txt,.\train\masks\0001_002_00.png
1,.\train\images\0003_002_00.png,[1],1,.\train\labels\0003_002_00.txt,.\train\masks\0003_002_00.png
2,.\train\images\0004_002_01.png,[1],1,.\train\labels\0004_002_01.txt,.\train\masks\0004_002_01.png
3,.\train\images\0005_002_01.png,[1],1,.\train\labels\0005_002_01.txt,.\train\masks\0005_002_01.png
4,.\train\images\0006_002_01.png,[1],1,.\train\labels\0006_002_01.txt,.\train\masks\0006_002_01.png
5,.\train\images\0010_006_02.png,[2],1,.\train\labels\0010_006_02.txt,.\train\masks\0010_006_02.png
6,.\train\images\0012_006_02.png,[2],1,.\train\labels\0012_006_02.txt,.\train\masks\0012_006_02.png
7,.\train\images\0013_006_02.png,[2],1,.\train\labels\0013_006_02.txt,.\train\masks\0013_006_02.png
8,.\train\images\0014_006_02.png,[2],1,.\train\labels\0014_006_02.txt,.\train\masks\0014_006_02.png
9,.\train\images\0016_006_02.png,[2],1,.\train\labels\0016_006_02.txt,.\train\masks\0016_006_02.png
10,.\train\images\0017_002_02.png,[1],1,.\train\labels\0017_002_02.txt,.\train\masks\0017_002_02.png
11,.\train\images\0018_010_03.png,[3],1,.\train\labels\0018_010_03.txt,.\train\masks\0018_010_03.png
12,.\train\images\0020_016_03.png,[4],1,.\train\labels\0020_016_03.txt,.\train\masks\0020_016_03.png
13,.\train\images\0021_016_03.png,[4],1,.\train\labels\0021_016_03.txt,.\train\masks\0021_016_03.png
14,.\train\images\0022_019_02.png,[5],1,.\train\labels\0022_019_02.txt,.\train\masks\0022_019_02.png
15,.\train\images\0023_019_02.png,[5],1,.\train\labels\0023_019_02.txt,.\train\masks\0023_019_02.png
16,.\train\images\0024_019_02.png,[5],1,.\train\labels\0024_019_02.txt,.\train\masks\0024_019_02.png
17,.\train\images\0025_019_02.png,[5],1,.\train\labels\0025_019_02.txt,.\train\masks\0025_019_02.png
18,.\train\images\0027_019_02.png,[5],1,.\train\labels\0027_019_02.txt,.\train\masks\0027_019_02.png
19,.\train\images\0029_019_02.png,[5],1,.\train\labels\0029_019_02.txt,.\train\masks\0029_019_02.png
20,.\train\images\0030_019_02.png,[5],1,.\train\labels\0030_019_02.txt,.\train\masks\0030_019_02.png
21,.\train\images\0031_019_02.png,[5],1,.\train\labels\0031_019_02.txt,.\train\masks\0031_019_02.png
22,.\train\images\0032_019_02.png,[5],1,.\train\labels\0032_019_02.txt,.\train\masks\0032_019_02.png
23,.\train\images\0033_019_02.png,[5],1,.\train\labels\0033_019_02.txt,.\train\masks\0033_019_02.png
24,.\train\images\0034_019_02.png,[5],1,.\train\labels\0034_019_02.txt,.\train\masks\0034_019_02.png
25,.\train\images\0036_019_02.png,[5],1,.\train\labels\0036_019_02.txt,.\train\masks\0036_019_02.png
26,.\train\images\0037_019_02.png,[5],1,.\train\labels\0037_019_02.txt,.\train\masks\0037_019_02.png
27,.\train\images\0038_019_02.png,[5],1,.\train\labels\0038_019_02.txt,.\train\masks\0038_019_02.png
28,.\train\images\0039_019_02.png,[5],1,.\train\labels\0039_019_02.txt,.\train\masks\0039_019_02.png
29,.\train\images\0040_019_02.png,[5],1,.\train\labels\0040_019_02.txt,.\train\masks\0040_019_02.png
30,.\train\images\0041_019_02.png,[5],1,.\train\labels\0041_019_02.txt,.\train\masks\0041_019_02.png
31,.\train\images\0042_019_02.png,[5],1,.\train\labels\0042_019_02.txt,.\train\masks\0042_019_02.png
32,.\train\images\0043_019_04.png,[5],1,.\train\labels\0043_019_04.txt,.\train\masks\0043_019_04.png
33,.\train\images\0044_019_04.png,[5],1,.\train\labels\0044_019_04.txt,.\train\masks\0044_019_04.png
34,.\train\images\0045_019_04.png,[5],1,.\train\labels\0045_019_04.txt,.\train\masks\0045_019_04.png
35,.\train\images\0046_019_04.png,[5],1,.\train\labels\0046_019_04.txt,.\train\masks\0046_019_04.png
36,.\train\images\0047_019_04.png,[5],1,.\train\labels\0047_019_04.txt,.\train\masks\0047_019_04.png
37,.\train\images\0051_019_03.png,[5],1,.\train\labels\0051_019_03.txt,.\train\masks\0051_019_03.png
38,.\train\images\0052_019_03.png,[5],1,.\train\labels\0052_019_03.txt,.\train\masks\0052_019_03.png
39,.\train\images\0054_019_03.png,[5],1,.\train\labels\0054_019_03.txt,.\train\masks\0054_019_03.png
40,.\train\images\0055_019_06.png,[5],1,.\train\labels\0055_019_06.txt,.\train\masks\0055_019_06.png
41,.\train\images\0057_019_06.png,[5],1,.\train\labels\0057_019_06.txt,.\train\masks\0057_019_06.png
42,.\train\images\0058_019_06.png,[5],1,.\train\labels\0058_019_06.txt,.\train\masks\0058_019_06.png
43,.\train\images\0060_022_06.png,[6],1,.\train\labels\0060_022_06.txt,.\train\masks\0060_022_06.png
44,.\train\images\0062_022_00.png,[6],1,.\train\labels\0062_022_00.txt,.\train\masks\0062_022_00.png
45,.\train\images\0063_022_00.png,[6],1,.\train\labels\0063_022_00.txt,.\train\masks\0063_022_00.png
46,.\train\images\0064_022_00.png,[6],1,.\train\labels\0064_022_00.txt,.\train\masks\0064_022_00.png
47,.\train\images\0065_022_00.png,[6],1,.\train\labels\0065_022_00.txt,.\train\masks\0065_022_00.png
48,.\train\images\0066_023_01.png,[7],1,.\train\labels\0066_023_01.txt,.\train\masks\0066_023_01.png
49,.\train\images\0068_023_02.png,[7],1,.\train\labels\0068_023_02.txt,.\train\masks\0068_023_02.png
50,.\train\images\0069_023_02.png,[7],1,.\train\labels\0069_023_02.txt,.\train\masks\0069_023_02.png
51,.\train\images\0070_023_02.png,[7],1,.\train\labels\0070_023_02.txt,.\train\masks\0070_023_02.png
52,.\train\images\0071_030_03.png,[8],1,.\train\labels\0071_030_03.txt,.\train\masks\0071_030_03.png
53,.\train\images\0073_010_03.png,[3],1,.\train\labels\0073_010_03.txt,.\train\masks\0073_010_03.png
54,.\train\images\0074_010_03.png,[3],1,.\train\labels\0074_010_03.txt,.\train\masks\0074_010_03.png
55,.\train\images\0075_010_03.png,[3],1,.\train\labels\0075_010_03.txt,.\train\masks\0075_010_03.png
56,.\train\images\0076_030_03.png,[8],1,.\train\labels\0076_030_03.txt,.\train\masks\0076_030_03.png
57,.\train\images\0077_022_03.png,[6],1,.\train\labels\0077_022_03.txt,.\train\masks\0077_022_03.png
58,.\train\images\0078_025_03.png,[8],1,.\train\labels\0078_025_03.txt,.\train\masks\0078_025_03.png
59,.\train\images\0081_006_04.png,[2],1,.\train\labels\0081_006_04.txt,.\train\masks\0081_006_04.png
60,.\train\images\0082_030_04.png,[9],1,.\train\labels\0082_030_04.txt,.\train\masks\0082_030_04.png
61,.\train\images\0084_030_04.png,[9],1,.\train\labels\0084_030_04.txt,.\train\masks\0084_030_04.png
62,.\train\images\0085_030_02.png,[9],1,.\train\labels\0085_030_02.txt,.\train\masks\0085_030_02.png
63,.\train\images\0086_030_02.png,[9],1,.\train\labels\0086_030_02.txt,.\train\masks\0086_030_02.png
64,.\train\images\0087_030_02.png,[9],1,.\train\labels\0087_030_02.txt,.\train\masks\0087_030_02.png
65,.\train\images\0088_030_02.png,[9],1,.\train\labels\0088_030_02.txt,.\train\masks\0088_030_02.png
66,.\train\images\0090_002_01.png,[1],1,.\train\labels\0090_002_01.txt,.\train\masks\0090_002_01.png
67,.\train\images\0092_030_01.png,[9],1,.\train\labels\0092_030_01.txt,.\train\masks\0092_030_01.png
68,.\train\images\0095_010_03.png,[3],1,.\train\labels\0095_010_03.txt,.\train\masks\0095_010_03.png
69,.\train\images\0096_030_03.png,[9],1,.\train\labels\0096_030_03.txt,.\train\masks\0096_030_03.png
70,.\train\images\0097_030_03.png,[9],1,.\train\labels\0097_030_03.txt,.\train\masks\0097_030_03.png
71,.\train\images\0098_019_02.png,[5],1,.\train\labels\0098_019_02.txt,.\train\masks\0098_019_02.png
72,.\train\images\0099_019_02.png,[5],1,.\train\labels\0099_019_02.txt,.\train\masks\0099_019_02.png
73,.\train\images\0102_010_03.png,[3],1,.\train\labels\0102_010_03.txt,.\train\masks\0102_010_03.png
74,.\train\images\0103_010_03.png,[3],1,.\train\labels\0103_010_03.txt,.\train\masks\0103_010_03.png
75,.\train\images\0104_022_03.png,[6],1,.\train\labels\0104_022_03.txt,.\train\masks\0104_022_03.png
76,.\train\images\0106_010_03.png,[0],1,.\train\labels\0106_010_03.txt,.\train\masks\0106_010_03.png
